TeamID,SEASON,LeagueID,PLAYER,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,SCHOOL
1610612737,2016,00,Paul Millsap,F,6-8,246,"FEB 10, 1985",32.0,Louisiana Tech
1610612737,2016,00,Malcolm Delaney,G,6-3,190,"MAR 11, 1989",28.0,Virginia Tech
1610612737,2016,00,Ersan Ilyasova,F,6-10,235,"MAY 15, 1987",30.0,FC Barcelona
1610612737,2016,00,Dwight Howard,C,6-11,265,"DEC 08, 1985",31.0,SW Atlanta Christian Academy (GA)
1610612737,2016,00,Tim Hardaway Jr.,G,6-6,205,"MAR 16, 1992",25.0,Michigan
1610612737,2016,00,Taurean Prince,F,6-8,220,"MAR 22, 1994",23.0,Baylor
1610612737,2016,00,Jose Calderon,G,6-3,200,"SEP 28, 1981",35.0,Tau Ceramica
1610612737,2016,00,Dennis Schröder,G,6-1,172,"SEP 15, 1993",23.0,Braunschweig
1610612737,2016,00,Kent Bazemore,F-G,6-5,201,"JUL 01, 1989",27.0,Old Dominion
1610612737,2016,00,Thabo Sefolosha,F,6-7,220,"MAY 02, 1984",33.0,Angelico Biella
1610612737,2016,00,Ryan Kelly,F,6-11,230,"APR 09, 1991",26.0,Duke
1610612737,2016,00,Mike Muscala,F-C,6-11,240,"JUL 01, 1991",25.0,Bucknell
1610612737,2016,00,Mike Dunleavy,G-F,6-9,230,"SEP 15, 1980",36.0,Duke
1610612737,2016,00,Kris Humphries,F,6-9,235,"FEB 06, 1985",32.0,Minnesota
1610612737,2016,00,DeAndre' Bembry,F-G,6-6,210,"JUL 04, 1994",22.0,St. Joseph's (PA)
1610612738,2016,00,Avery Bradley,G,6-2,180,"NOV 26, 1990",26.0,University of Texas at Austin
1610612738,2016,00,Isaiah Thomas,G,5-9,185,"FEB 07, 1989",28.0,Washington
1610612738,2016,00,Jaylen Brown,F,6-7,225,"OCT 24, 1996",20.0,California
1610612738,2016,00,Jonas Jerebko,F,6-10,231,"MAR 02, 1987",30.0,Angelico Biella
1610612738,2016,00,Demetrius Jackson,G,6-1,201,"SEP 07, 1994",22.0,Notre Dame
1610612738,2016,00,Terry Rozier,G,6-2,190,"MAR 17, 1994",23.0,Louisville
1610612738,2016,00,James Young,G-F,6-6,215,"AUG 16, 1995",21.0,Kentucky
1610612738,2016,00,Gerald Green,F,6-7,205,"JAN 26, 1986",31.0,No College
1610612738,2016,00,Marcus Smart,G,6-4,220,"MAR 06, 1994",23.0,Oklahoma State
1610612738,2016,00,Kelly Olynyk,C-F,7-0,238,"APR 19, 1991",26.0,Gonzaga
1610612738,2016,00,Al Horford,C,6-10,245,"JUN 03, 1986",31.0,Florida
1610612738,2016,00,Tyler Zeller,C,7-0,253,"JAN 17, 1990",27.0,North Carolina
1610612738,2016,00,Jordan Mickey,F,6-8,235,"JUL 09, 1994",22.0,Louisiana State
1610612738,2016,00,Amir Johnson,F,6-9,240,"MAY 01, 1987",30.0,Westchester HS (CA)
1610612738,2016,00,Jae Crowder,F,6-6,235,"JUL 06, 1990",26.0,Marquette
